horizon,model,qlike_mean,qlike_median,mse,collapsed,dm_vs_base,p_vs_base,n_obs,mcs_pvalue,in_mcs,qlike_delta_vs_base,block
1,rich_x__is_payrolls,0.19492509906001904,0.07907872402071447,0.00199732140437968,0,-0.7327489053777568,0.4637115898369779,726,0.9605,True,-0.0007935216770847131,calendar
5,har_rs_iv,0.20440439697971194,0.05846440952621934,0.002184950484834935,0,,,726,0.8425,True,0.0,baseline
5,rich_x__atm_iv_30,0.20732503129370583,0.05358970866544166,0.002103021852717508,0,0.3964890265049895,0.6917443015712963,726,0.92,True,0.0029206343139938917,option
5,rich_x__skew_25d_30,0.20696601376861173,0.05624381670811607,0.0021929851904273654,0,1.4163966591458959,0.15665940153101543,726,0.7025,True,0.0025616167888997954,option
5,rich_x__term_slope_30_91,0.20317157926349713,0.0684742793356864,0.0021890097364973948,0,-0.16064355773001124,0.8723741462941774,726,1.0,True,-0.0012328177162148068,option
5,rich_x__vix_vol,0.20423881937895325,0.05218002969930946,0.002135576882463366,0,-0.028959148183636287,0.9768971719448962,726,0.977,True,-0.00016557760075869288,option
5,rich_x__spy_put_call,0.2053954868286269,0.05675941166615006,0.002178220386730064,0,0.9470036592768384,0.34363691429444465,726,0.834,True,0.0009910898489149667,option
5,rich_x__wiki_attention,0.20468293227963733,0.056601877224219055,0.0021843521793519943,0,0.21398216711604848,0.8305609636851685,726,0.92,True,0.0002785352999253865,attention
5,rich_x__epu_log,0.20813791150184394,0.05827744553843395,0.002199448965559058,0,2.8336777316666915,0.004601571146902739,726,0.1665,True,0.0037335145221319976,uncertainty
5,rich_x__emv_overall,0.20600640534623552,0.058617126660612584,0.002199963002523162,0,1.7701848095042674,0.07669635901589045,726,0.3715,True,0.0016020083665235774,uncertainty
5,rich_x__is_fomc,0.20329911050378574,0.056521388678359874,0.0021792109932579633,0,-1.2051738857706717,0.22813618136540192,726,0.9895,True,-0.0011052864759261982,calendar
5,rich_x__is_cpi,0.2040316520064045,0.057369903867775074,0.002181150556365891,0,-1.0798141341028606,0.28022495586937324,726,0.92,True,-0.00037274497330744283,calendar
5,rich_x__is_payrolls,0.20448369213584816,0.05893786700733217,0.002187395644204866,0,0.5449594663146302,0.585781395687192,726,0.7025,True,7.929515613622207e-05,calendar
21,har_rs_iv,0.24932212867798642,0.10953172470554207,0.0023799680591620174,0,,,726,0.742,True,0.0,baseline
21,rich_x__atm_iv_30,0.25122333267832725,0.08222902847620306,0.002268489325955242,0,0.15123028127587188,0.8797940639918771,726,0.994,True,0.0019012040003408281,option
21,rich_x__skew_25d_30,0.25678804749596434,0.09219297994879139,0.0023964735214447004,0,0.6656370516972976,0.5056431176921081,726,0.7175,True,0.0074659188179779234,option
21,rich_x__term_slope_30_91,0.260267612437099,0.1386657906398472,0.002503540911596231,0,1.0369599974595065,0.2997545004768849,726,0.742,True,0.010945483759112584,option
21,rich_x__vix_vol,0.2505148808668748,0.08857161156365623,0.0023306747801423613,0,0.10003866180368833,0.9203136317023553,726,0.994,True,0.0011927521888883685,option
21,rich_x__spy_put_call,0.2549469706578124,0.10236491091502442,0.0023834950331153943,0,0.9713514916453482,0.3313732755238499,726,0.6145,True,0.00562484197982599,option
21,rich_x__wiki_attention,0.2482160687108241,0.10707766991680323,0.0023760061492556816,0,-1.158052473201208,0.24684262340054275,726,1.0,True,-0.001106059967162315,attention
21,rich_x__epu_log,0.26654146728535827,0.10840165092311849,0.0024641383963112237,0,2.237870763116478,0.02522948412767345,726,0.0225,False,0.017219338607371848,uncertainty
21,rich_x__emv_overall,0.24828895110969365,0.09718806952359049,0.0023443677486574884,0,-0.20857360791263158,0.8347811152634468,726,0.994,True,-0.0010331775682927702,uncertainty
21,rich_x__is_fomc,0.24965270602105571,0.10646360663183962,0.002388669852355646,0,0.16981747796971872,0.8651536811419085,726,0.9685,True,0.00033057734306929376,calendar
21,rich_x__is_cpi,0.2494323788982362,0.10956786707020516,0.0023809314914357968,0,2.1091365229446595,0.03493279911526659,726,0.479,True,0.00011025022024976905,calendar
21,rich_x__is_payrolls,0.2490011683794279,0.10757980216079832,0.0023797774010429528,0,-1.2178732907104348,0.2232721274677003,726,0.9075,True,-0.00032096029855852026,calendar
