horizon,model,qlike_mean,qlike_median,mse,collapsed,dm_vs_base,p_vs_base,n_obs,mcs_pvalue,in_mcs,qlike_delta_vs_base,block
1,rich_x__epu_log,0.19582407570496696,0.07717992638830506,0.002016475748765982,0,1.8051910437874807,0.07104479196109503,720,0.187,True,0.0011218805678324673,uncertainty
1,rich_x__emv_overall,0.19455789797591383,0.08047657311209677,0.002020116192229032,0,-0.11583521230478218,0.9077831429628573,720,0.917,True,-0.00014429716122066338,uncertainty
1,rich_x__is_fomc,0.19450137706031936,0.0805083568409578,0.002007004861827785,0,-0.27782715355475185,0.7811450459250662,720,0.917,True,-0.0002008180768151291,calendar
1,rich_x__is_cpi,0.1953535968328961,0.07818675993650726,0.002020170820065116,0,0.5633041803413372,0.5732277720335759,720,0.917,True,0.0006514016957616109,calendar
1,rich_x__is_payrolls,0.1939100832889052,0.07889603622148544,0.002023926214009357,0,-0.7192518687039318,0.4719857459220065,720,0.917,True,-0.0007921118482293044,calendar
5,har_rs_iv,0.20410094794586003,0.058073467232938825,0.00220749935435105,0,,,720,0.7935,True,0.0,baseline
5,rich_x__atm_iv_30,0.20598461641372276,0.05239799865381989,0.0021122835866218756,0,0.2523481591067608,0.800771966686,720,0.9425,True,0.0018836684678627258,option
5,rich_x__skew_25d_30,0.20709010799815614,0.05494736630415409,0.002219118330920758,0,1.5823997988172314,0.11355833062802478,720,0.658,True,0.0029891600522961026,option
5,rich_x__term_slope_30_91,0.20211357434251648,0.06682167903122926,0.002205443863526694,0,-0.2563242337228055,0.797700486360571,720,1.0,True,-0.0019873736033435563,option
5,rich_x__vix_vol,0.2032493085672384,0.05003395191332527,0.0021495266391772278,0,-0.14535521510919477,0.8844304222207142,720,0.9935,True,-0.0008516393786216214,option
5,rich_x__spy_put_call,0.2053743362379592,0.05656314170032262,0.0022019651250279543,0,1.2091050763015303,0.22662247923457768,720,0.6775,True,0.0012733882920991646,option
5,rich_x__gdelt_tone_mkt,0.22781602420024855,0.050956559637504895,0.0022070836885155565,0,2.1622369702516138,0.030599915238736397,720,0.4545,True,0.023715076254388512,news
5,rich_x__gdelt_share_mkt,0.20580559880891258,0.06232556599933703,0.0022204606205423532,0,1.5350205243988007,0.12477878658310604,720,0.658,True,0.001704650863052548,news
5,rich_x__gdelt_tone_econ,0.21501680529819941,0.04940010519297988,0.002203527576904717,0,1.8530278611900075,0.06387836537428826,720,0.602,True,0.010915857352339381,news
5,rich_x__gdelt_share_econ,0.2057763000491713,0.05719824397295603,0.0022121154228447273,0,1.7060243434562696,0.08800354727656212,720,0.658,True,0.0016753521033112673,news
5,rich_x__wiki_attention,0.20444750987663862,0.05580214946845585,0.002205696431186523,0,0.25343621772938846,0.7999311432616636,720,0.882,True,0.0003465619307785883,attention
5,rich_x__epu_log,0.20704884153106756,0.056313120149015794,0.002222772599467772,0,2.96175068908737,0.0030589536221776736,720,0.1195,True,0.0029478935852075283,uncertainty
5,rich_x__emv_overall,0.20620584173051767,0.059622315139394866,0.0022385539755955457,0,1.592842525559291,0.11119552246910858,720,0.4545,True,0.002104893784657641,uncertainty
5,rich_x__is_fomc,0.20290150297395096,0.056592784957089526,0.0022010149697301953,0,-1.268423554772687,0.2046467343135996,720,0.9935,True,-0.001199444971909075,calendar
5,rich_x__is_cpi,0.20369825605141698,0.056914117724387925,0.002203604637456697,0,-1.2264806684559342,0.22001784568905958,720,0.882,True,-0.000402691894443058,calendar
5,rich_x__is_payrolls,0.2041538975068905,0.05850061109897564,0.002209670593144008,0,0.33726210421568437,0.7359193243311497,720,0.658,True,5.294956103046866e-05,calendar
21,har_rs_iv,0.24852158417368997,0.10543496533573582,0.0023961525649896067,0,,,720,0.8575,True,0.0,baseline
21,rich_x__atm_iv_30,0.24986236970258766,0.08023964568878184,0.002274730057095932,0,0.1050369363817183,0.9163464998204869,720,0.998,True,0.0013407855288976867,option
21,rich_x__skew_25d_30,0.2573208248070413,0.09065136615802438,0.0024233934312765195,0,0.7581273722547718,0.44837473464730726,720,0.6155,True,0.008799240633351357,option
21,rich_x__term_slope_30_91,0.25885429562569584,0.1358533540635498,0.002511616204508232,0,1.02863656199668,0.3036504903338022,720,0.8315,True,0.010332711452005872,option
21,rich_x__vix_vol,0.24917406821046884,0.08379347820487215,0.0023400603804023647,0,0.05326367763179226,0.9575218201514082,720,0.998,True,0.0006524840367788665,option
21,rich_x__spy_put_call,0.2547501773011555,0.10077596209191009,0.0024010903772380683,0,1.0128410277926123,0.3111361002075874,720,0.7085,True,0.006228593127465543,option
