horizon,model,qlike_mean,qlike_median,mse,collapsed,dm_vs_har,p_vs_har,n_obs,mcs_pvalue,in_mcs,qlike_delta_vs_har,block
1,har_x__is_payrolls,0.2079715149982827,0.08229114066270482,0.0022070075378009682,0,-1.1305910037502531,0.2582272757296322,726,0.032,False,-0.001885503453697479,calendar
5,har,0.20811507860409173,0.05895899888205425,0.0024339505384819524,0,,,726,0.103,True,0.0,baseline
5,har_x__atm_ivar_30,0.20359745212267163,0.057524876192601604,0.0021884158866836635,0,-0.4829337887309664,0.62914274953408,726,1.0,True,-0.004517626481420095,option
5,har_x__atm_iv_30,0.21008278087975113,0.05226385551903456,0.0021197347609085886,0,0.18376314016796433,0.8541992735295978,726,0.9345,True,0.0019677022756594,option
5,har_x__skew_25d_30,0.22114289621591338,0.05481898248141215,0.0024074203011332155,0,2.0283023353921497,0.04252940077163503,726,0.3765,True,0.013027817611821646,option
5,har_x__term_slope_30_91,0.20432400202310935,0.07679108679405655,0.002380930850199091,0,-0.38021616731439445,0.7037849590685763,726,0.9795,True,-0.0037910765809823777,option
5,har_x__vix_vol,0.20817043663123005,0.05380217520140018,0.002186871693728493,0,0.006709127647162246,0.9946469307929802,726,0.958,True,5.535802713832472e-05,option
5,har_x__spy_put_call,0.20958641410933426,0.059006923485816265,0.00242145160203192,0,1.1816445644025346,0.23734676303570135,726,0.6685,True,0.0014713355052425325,option
5,har_x__wiki_attention,0.2086746978182868,0.06017210292974129,0.0024390496031029495,0,0.5952062907232342,0.5517055858168802,726,0.6435,True,0.0005596192141950618,attention
5,har_x__epu_log,0.20683253544192357,0.06226976189461331,0.002441978820012479,0,-0.5976422061854484,0.5500786958577804,726,0.9795,True,-0.0012825431621681649,uncertainty
5,har_x__emv_overall,0.20814356142779125,0.05875441449743002,0.0024434214887662105,0,0.0310104006198016,0.975261245167776,726,0.711,True,2.8482823699521598e-05,uncertainty
5,har_x__is_fomc,0.20656024639277049,0.06026016878314122,0.002421942361807191,0,-1.5413841700738777,0.12322331439993284,726,0.9795,True,-0.0015548322113212443,calendar
5,har_x__is_cpi,0.20778947728531685,0.06013498166409892,0.002426974711522304,0,-0.492284957847147,0.6225179123583406,726,0.899,True,-0.0003256013187748763,calendar
5,har_x__is_payrolls,0.2074260634429137,0.059582412626700054,0.0024356925913240944,0,-2.612958920870301,0.008976209054142759,726,0.912,True,-0.0006890151611780304,calendar
21,har,0.24557009710388403,0.10569008127078128,0.0024148736427551296,0,,,726,0.782,True,0.0,baseline
21,har_x__atm_ivar_30,0.24928351874043295,0.10921508590403162,0.0023736315984353214,0,0.8042229295516271,0.4212682386188309,726,0.688,True,0.003713421636548919,option
21,har_x__atm_iv_30,0.251509653094435,0.08740867762385574,0.002227076673809503,0,0.36291061647805006,0.7166716558535231,726,0.9795,True,0.005939555990550988,option
21,har_x__skew_25d_30,0.2546365724444801,0.09074435150255222,0.0023855694802441723,0,0.6208483657706347,0.5346993970615559,726,0.922,True,0.009066475340596097,option
21,har_x__term_slope_30_91,0.2554738157144809,0.13612470660535347,0.0024981987084150025,0,0.9345206402648055,0.3500353940974388,726,0.8565,True,0.009903718610596884,option
21,har_x__vix_vol,0.2505575650367492,0.08878546609559412,0.002286848764392069,0,0.319070513851459,0.7496730424977649,726,0.9795,True,0.004987467932865169,option
21,har_x__spy_put_call,0.25112064010031016,0.09940916431839975,0.002417014975205409,0,0.9488492598810407,0.34269728410646927,726,0.556,True,0.005550542996426128,option
21,har_x__wiki_attention,0.24477687983662105,0.0995924535181365,0.0024136626899213137,0,-0.9128781752295478,0.3613066171293047,726,0.9795,True,-0.0007932172672629745,attention
21,har_x__epu_log,0.2593880993898149,0.1067044671352767,0.0024909282120344,0,2.6350413983811642,0.00841270219674528,726,0.014,False,0.013818002285930858,uncertainty
21,har_x__emv_overall,0.24351291011848064,0.09343220768266869,0.002375069197519794,0,-0.4373926380167901,0.6618266222869167,726,1.0,True,-0.0020571869854033864,uncertainty
21,har_x__is_fomc,0.24592335789162229,0.10473796331507923,0.002415443551475076,0,0.1747056812574785,0.8613109034378146,726,0.9795,True,0.00035326078773825764,calendar
21,har_x__is_cpi,0.2456608721642773,0.10529683777083576,0.0024156590945208023,0,1.382291672057178,0.16688216202630435,726,0.574,True,9.077506039326111e-05,calendar
