horizon,model,qlike_mean,qlike_median,mse,collapsed,dm_vs_har,p_vs_har,n_obs,mcs_pvalue,in_mcs,qlike_delta_vs_har,block
5,har_x__skew_25d_30,0.21910574187933984,0.0558070088785898,0.00243790059861694,0,2.0770062226342105,0.03780098490092865,723,0.3435,True,0.011429770323246047,option
5,har_x__term_slope_30_91,0.20752628839819073,0.06731095846479307,0.0024391040286262083,0,-0.03771967121915962,0.9699111917917791,723,0.971,True,-0.0001496831579030633,option
5,har_x__vix_vol,0.2139690603885206,0.053713738372808795,0.0023661734378485665,0,1.003025032278568,0.3158487835858761,723,0.6545,True,0.006293088832426796,option
5,har_x__spy_put_call,0.20864452862414368,0.06105734361806414,0.002438268536732574,0,1.9115450522947497,0.055934572925641746,723,0.3435,True,0.0009685570680498801,option
5,har_x__wiki_attention,0.20839696341051495,0.06049620435603287,0.0024377344857584313,0,1.2619376225866006,0.20697123275501372,723,0.4295,True,0.0007209918544211491,attention
5,har_x__epu_log,0.20963251049869897,0.06073411631501324,0.002443140983613676,0,2.4901728488388852,0.012768098287723406,723,0.172,True,0.0019565389426051683,uncertainty
5,har_x__emv_overall,0.20752116037073048,0.05796989468262148,0.002437540603256615,0,-0.327790785241076,0.743069855057771,723,0.971,True,-0.00015481118536331273,uncertainty
5,har_x__is_fomc,0.207239175324358,0.06040222306598486,0.002436110281736437,0,-1.8290775393683822,0.06738799317914235,723,1.0,True,-0.0004367962317357865,calendar
5,har_x__is_cpi,0.2076593333746456,0.06104641539174516,0.0024308844773925833,0,-0.01960702750785502,0.9843568577712729,723,0.971,True,-1.663818144820306e-05,calendar
5,har_x__is_payrolls,0.20801255088683948,0.05952458867415156,0.0024393188353768755,0,2.0608197154179457,0.039320242856635046,723,0.0995,False,0.00033657933074568436,calendar
21,har,0.24539626939883452,0.10395948638663932,0.0024190771693239554,0,,,723,0.8845,True,0.0,baseline
21,har_x__atm_ivar_30,0.24615351457566276,0.10738064478825549,0.002442197536869668,0,0.7379657850381829,0.4605352410054666,723,0.8845,True,0.0007572451768282362,option
21,har_x__atm_iv_30,0.25260483483357177,0.0974337350408947,0.0023422996890780936,0,0.6798397886656399,0.4966059099771123,723,0.8335,True,0.007208565434737246,option
21,har_x__skew_25d_30,0.25441478393694494,0.09301464650433955,0.0024121334413659884,0,0.6943966933406084,0.487433466846491,723,0.8335,True,0.009018514538110423,option
21,har_x__term_slope_30_91,0.2547621458052221,0.11946726597568169,0.002496861350397277,0,2.3340471774176645,0.019593251740289253,723,0.107,True,0.009365876406387585,option
21,har_x__vix_vol,0.2514954347429503,0.10113364838874128,0.0023844279260361568,0,0.6426467354764198,0.5204533502793875,723,0.8335,True,0.006099165344115753,option
21,har_x__spy_put_call,0.2514016988528955,0.10269223144411743,0.0024362132173125404,0,1.2763612103733273,0.20182786161719157,723,0.1745,True,0.006005429454060962,option
21,har_x__wiki_attention,0.246987554715179,0.10435112569714788,0.00242723078668811,0,1.0453171909279424,0.29587639495527807,723,0.789,True,0.0015912853163444762,attention
21,har_x__epu_log,0.26386009646592473,0.10799159682652704,0.002506089774564244,0,2.149518010455465,0.031593359954847244,723,0.0285,False,0.01846382706709021,uncertainty
21,har_x__emv_overall,0.24223678540388843,0.09287419739619329,0.0023726812268489426,0,-0.6975682784923153,0.48544722540165663,723,1.0,True,-0.0031594839949460884,uncertainty
21,har_x__is_fomc,0.24551793970448413,0.10412286945481752,0.0024213160883150724,0,0.1281686401471886,0.898015516887593,723,0.8845,True,0.00012167030564960712,calendar
21,har_x__is_cpi,0.2454099849946548,0.10288686214433662,0.0024186939631317566,0,0.07673806475567493,0.9388319225099415,723,0.8845,True,1.371559582027948e-05,calendar
21,har_x__is_payrolls,0.24554495532089135,0.10348098814568352,0.0024214690283351223,0,0.7268648788470937,0.46730873397237715,723,0.8845,True,0.0001486859220568293,calendar
