horizon,model,qlike_mean,sharpe,mean_ann,vol_ann,max_drawdown,worst_month,turnover_ann,n_days,qlike_winner,sharpe_winner,diff_vs_qlike_winner,p_vs_qlike_winner,diff_vs_har,p_vs_har,diff_vs_buy_and_hold,p_vs_buy_and_hold,qlike_sharpe_spearman,qlike_sharpe_spearman_p
5,shar,0.20991954681096528,1.33819172016706,0.25920586509046695,0.19369860176545384,-0.2535144655455076,-0.08309871205417876,38.56323159326982,726,hgb,persistence,0.09898086410728668,0.329,0.02645023290233084,0.6814,0.06223837174544333,0.7668,0.41666666666666663,0.26458604674749636
5,har_rv_iv,0.20329096444183367,1.3342011300841954,0.2609885797395992,0.19561411983149005,-0.26042581518108904,-0.0820936854332415,32.499112603566566,726,hgb,persistence,0.09898086410728668,0.329,0.02645023290233084,0.6814,0.06223837174544333,0.7668,0.41666666666666663,0.26458604674749636
5,buy_and_hold,,1.3054403263260514,0.2170544126096529,0.16626911872756156,-0.20230140525,-0.05798335609000001,,726,hgb,persistence,0.09898086410728668,0.329,0.02645023290233084,0.6814,0.06223837174544333,0.7668,0.41666666666666663,0.26458604674749636
5,lstm_x,0.23557117238120254,1.3031027964321795,0.2643065617877641,0.20282863524767217,-0.26059543993484646,-0.08897407782918103,17.268836717550013,726,hgb,persistence,0.09898086410728668,0.329,0.02645023290233084,0.6814,0.06223837174544333,0.7668,0.41666666666666663,0.26458604674749636
5,combination,0.19255357315671898,1.3030101411911243,0.25421606196120156,0.1950990663271541,-0.2513849989356801,-0.08636052729055808,27.01950973605927,726,hgb,persistence,0.09898086410728668,0.329,0.02645023290233084,0.6814,0.06223837174544333,0.7668,0.41666666666666663,0.26458604674749636
5,har_x_lasso,0.186591727658305,1.2917647003324189,0.25461299131241383,0.19710477554224273,-0.25518460167105494,-0.09205774279308254,27.755829216828015,726,hgb,persistence,0.09898086410728668,0.329,0.02645023290233084,0.6814,0.06223837174544333,0.7668,0.41666666666666663,0.26458604674749636
5,hgb,0.1851218170308022,1.268697833964208,0.24786932276932752,0.19537301643751398,-0.25137907433499534,-0.0870106294848714,31.9503221276852,726,hgb,persistence,0.09898086410728668,0.329,0.02645023290233084,0.6814,0.06223837174544333,0.7668,0.41666666666666663,0.26458604674749636
5,lstm,0.2378408090509458,1.2452129667694298,0.2472124363938079,0.19853024582226592,-0.26981456041611607,-0.09047717580057721,16.426987890555292,726,hgb,persistence,0.09898086410728668,0.329,0.02645023290233084,0.6814,0.06223837174544333,0.7668,0.41666666666666663,0.26458604674749636
21,lstm_x,0.3131724993715915,1.3834523878373706,0.28816647693727665,0.20829518924589954,-0.2740448600879149,-0.08522820721708288,13.014616290271286,726,hgb,lstm_x,0.08620836944066634,0.4092,0.023981153072526684,0.838,0.07801206151131912,0.665,0.5166666666666667,0.15439012098622507
21,persistence,0.581052955623675,1.3676786980714948,0.28117235523884454,0.20558363278986042,-0.27186874988472165,-0.0899095937563924,61.835931231261235,726,hgb,lstm_x,0.08620836944066634,0.4092,0.023981153072526684,0.838,0.07801206151131912,0.665,0.5166666666666667,0.15439012098622507
21,shar,0.24530652139246392,1.3622949624033993,0.24378547329603484,0.1789520478486844,-0.23874587040321077,-0.06896777883092381,24.4403479850839,726,hgb,lstm_x,0.08620836944066634,0.4092,0.023981153072526684,0.838,0.07801206151131912,0.665,0.5166666666666667,0.15439012098622507
21,har_rv_iv,0.24848815210905945,1.3617090381283932,0.24436419435766282,0.17945404452446775,-0.23922045551339793,-0.06867136474797696,23.352382116156676,726,hgb,lstm_x,0.08620836944066634,0.4092,0.023981153072526684,0.838,0.07801206151131912,0.665,0.5166666666666667,0.15439012098622507
