date,rv5m_var,rq5m,n_buckets,rv5m,rs_pos_var,rs_neg_var
2022-08-10,4.19267542918e-05,2.71874462713e-09,77,0.102788822746,2.35727298179e-05,1.83540244739e-05
2022-08-11,5.25339710673e-05,2.57482941755e-09,77,0.115058944498,2.20904496815e-05,3.04435213859e-05
2022-08-12,2.98272669936e-05,1.56173272094e-09,77,0.0866975852166,1.7886981728e-05,1.19402852656e-05
2022-08-15,2.8264442768e-05,1.52948994687e-09,77,0.0843957319866,1.91774404025e-05,9.08700236557e-06
2022-08-16,4.55170225732e-05,2.72908830038e-09,77,0.10709943832,2.09577557451e-05,2.45592668281e-05
2022-08-17,5.49288694006e-05,3.69004491812e-09,77,0.117652348421,2.4494258069e-05,3.04346113317e-05
2022-08-18,3.58928204311e-05,1.86557712331e-09,77,0.0951051562673,1.73524428199e-05,1.85403776112e-05
2022-08-19,2.94849113577e-05,1.11941474155e-09,77,0.0861985943164,1.14945290778e-05,1.79903822799e-05
2022-08-22,4.10123494744e-05,2.1828167634e-09,77,0.101661753219,1.37108896373e-05,2.73014598371e-05
2022-08-23,7.63611599257e-05,8.4819082361e-09,77,0.138719185051,4.22264507412e-05,3.41347091845e-05
2022-08-24,3.09547775755e-05,1.39981662752e-09,77,0.0883210277851,1.93423303576e-05,1.16124472179e-05
2022-08-25,4.51783310981e-05,2.42361205791e-09,77,0.106700231662,3.09553076019e-05,1.42230234962e-05
2022-08-26,0.000298734058345,4.07803107164e-07,77,0.27437380105,0.000107461161823,0.000191272896522
2022-08-29,9.01109141219e-05,6.58513797117e-09,77,0.150691573615,4.63023122758e-05,4.38086018461e-05
2022-08-30,0.000147711732518,2.46171611029e-08,77,0.19293355487,5.53250047329e-05,9.23867277854e-05
2022-08-31,0.000101180484212,1.50410120621e-08,77,0.159679309936,4.50171474468e-05,5.61633367656e-05
2022-09-01,0.000128685047177,1.94641790628e-08,77,0.180079515461,7.79535625187e-05,5.07314846586e-05
2022-09-02,0.000157531357361,2.72262790721e-08,77,0.19924332374,5.74825073752e-05,0.000100048849985
2022-09-06,0.000169027829922,4.12145581086e-08,77,0.206385593345,7.79149670478e-05,9.11128628739e-05
2022-09-07,7.40869611555e-05,5.73756383607e-09,77,0.136637894492,5.3524206751e-05,2.05627544044e-05
2022-09-08,0.000166580179248,5.36027666323e-08,77,0.20488583448,9.81227063091e-05,6.84574729389e-05
2022-09-09,4.43881764528e-05,2.15096077458e-09,77,0.105763039225,2.56923027609e-05,1.86958736919e-05
2022-09-12,4.80101930701e-05,1.77787502593e-09,77,0.109993493688,2.91339005188e-05,1.88762925513e-05
2022-09-13,7.24639057563e-05,5.88218204265e-09,77,0.135132913276,1.64607476398e-05,5.60031581165e-05
2022-09-14,0.00013801968798,2.18305731272e-08,77,0.186496545198,7.60421033098e-05,6.19775846702e-05
2022-09-15,0.000126292298126,1.90753185102e-08,77,0.178397475116,5.52756363233e-05,7.10166618025e-05
2022-09-16,0.000121600098774,1.5285665439e-08,77,0.175052063373,7.00698918249e-05,5.1530206949e-05
2022-09-19,7.83288636539e-05,6.14108222538e-09,77,0.140495101839,5.0336555026e-05,2.79923086279e-05
2022-09-20,7.85303156951e-05,6.21353404146e-09,77,0.14067565374,3.97580706456e-05,3.87722450495e-05
2022-09-21,0.00065170549486,2.1824691735e-06,77,0.405252741761,0.000215875288868,0.000435830205992
2022-09-22,0.000164277442709,3.06949498947e-08,77,0.203464777204,7.31714480721e-05,9.11059946372e-05
2022-09-23,0.000129979431807,1.58942238236e-08,77,0.180982918574,6.12432206205e-05,6.87362111866e-05
2022-09-26,0.000194566440392,5.25274836894e-08,77,0.221428866634,7.87014035435e-05,0.000115865036849
2022-09-27,0.00021413705769,3.84804259343e-08,77,0.232298382555,8.15976972828e-05,0.000132539360407
2022-09-28,0.000136075172792,2.07659811394e-08,77,0.185178140026,9.21756437693e-05,4.38995290229e-05
2022-09-29,0.000159777409897,3.29527237423e-08,77,0.200658683575,6.74227075019e-05,9.23547023948e-05
2022-09-30,0.00015491412533,4.11474005555e-08,77,0.197581273361,6.28431568252e-05,9.20709685046e-05
2022-10-03,0.000103505752671,2.31272723279e-08,77,0.161503714116,7.95088736075e-05,2.39968790639e-05
