date,close,ret
2022-03-21,444.39,-0.000292
2022-03-22,449.59,0.011701
2022-03-23,443.8,-0.012878
2022-03-24,450.49,0.015074
2022-03-25,452.69,0.004884
2022-03-28,455.91,0.007113
2022-03-29,461.55,0.012371
2022-03-30,458.7,-0.006175
2022-03-31,451.64,-0.015391
2022-04-01,452.92,0.002834
2022-04-04,456.8,0.008567
2022-04-05,451.03,-0.012631
2022-04-06,446.52,-0.009999
2022-04-07,448.77,0.005039
2022-04-08,447.57,-0.002674
2022-04-11,439.92,-0.017092
2022-04-12,438.29,-0.003705
2022-04-13,443.31,0.011454
2022-04-14,437.79,-0.012452
2022-04-18,437.97,0.000411
2022-04-19,445.04,0.016143
2022-04-20,444.71,-0.000742
2022-04-21,438.06,-0.014954
2022-04-22,426.04,-0.027439
2022-04-25,428.51,0.005798
2022-04-26,416.1,-0.028961
2022-04-27,417.27,0.002812
2022-04-28,427.81,0.025259
2022-04-29,412,-0.036956
2022-05-02,414.48,0.006019
2022-05-03,416.38,0.004584
2022-05-04,429.06,0.030453
2022-05-05,413.81,-0.035543
2022-05-06,411.34,-0.005969
2022-05-09,398.17,-0.032017
2022-05-10,399.09,0.002311
2022-05-11,392.75,-0.015886
2022-05-12,392.34,-0.001044
2022-05-13,401.72,0.023908
2022-05-16,400.09,-0.004058
2022-05-17,408.32,0.02057
2022-05-18,391.86,-0.040312
2022-05-19,389.46,-0.006125
2022-05-20,389.63,0.000437
2022-05-23,396.92,0.01871
2022-05-24,393.89,-0.007634
2022-05-25,397.37,0.008835
2022-05-26,405.31,0.019981
2022-05-27,415.26,0.024549
2022-05-31,412.93,-0.005611
2022-06-01,409.59,-0.008089
2022-06-02,417.39,0.019043
2022-06-03,410.54,-0.016412
2022-06-06,411.79,0.003045
2022-06-07,415.74,0.009592
2022-06-08,411.22,-0.010872
2022-06-09,401.44,-0.023783
2022-06-10,389.8,-0.028996
2022-06-13,375,-0.037968
2022-06-14,373.87,-0.003013
2022-06-15,379.2,0.014256
2022-06-16,366.65,-0.033096
2022-06-17,365.86,0.002146
2022-06-21,375.07,0.025174
2022-06-22,374.39,-0.001813
2022-06-23,378.06,0.009803
2022-06-24,390.08,0.031794
2022-06-27,388.59,-0.00382
2022-06-28,380.65,-0.020433
2022-06-29,380.34,-0.000814
2022-06-30,377.25,-0.008124
2022-07-01,381.24,0.010577
2022-07-05,381.96,0.001889
2022-07-06,383.25,0.003377
2022-07-07,388.99,0.014977
2022-07-08,388.67,-0.000823
2022-07-11,384.23,-0.011424
2022-07-12,380.83,-0.008849
